Feature,Feature Name,note,"""-log(p)""",p-val,beta,Conf-interval beta,std_error,category_string,ICD-9,ICD-10,pval_fdr,bon_sig,fdr_sig
Max_Distance_Transform_By_Object_Area_Eosinophilic,Max_Distance_Transform_By_Object_Area_Eosinophilic,,3.130156241327461,0.0007410435962725987,22024.44735145714,"[9230.116031138385, 34818.77867177589]",6527.840011979204,,,,0.03321662802050461,False,True
Mean_Distance_Transform_By_Object_Area_Eosinophilic,Mean_Distance_Transform_By_Object_Area_Eosinophilic,,3.034946957733675,0.0009226841116806836,66306.64119995332,"[27080.937315962088, 105532.34508394454]",20013.48197895399,,,,0.03321662802050461,False,True
Mean_Distance_Transform_By_Eosinophilic_Area,Mean_Distance_Transform_By_Eosinophilic_Area,,2.6320741939963277,0.0023330594530458167,52387.389983883666,"[18658.44418386359, 86116.33578390375]",17208.96203505253,,,,0.04458140763344895,False,True
Max_Distance_Transform_By_Eosinophilic_Area,Max_Distance_Transform_By_Eosinophilic_Area,,2.6061187281329734,0.0024767448685249415,16730.553280035638,"[5894.644718084848, 27566.461841986427]",5528.626366312368,,,,0.04458140763344895,False,True
Max_Distance_Transform_Nuclei,Max_Distance_Transform_Nuclei,,2.394517301249079,0.004031648850028377,-5.8677837321371,"[-9.867069364135817, -1.8684981001383818]",2.040489347531165,,,,0.058055743440408626,False,False
Max_Distance_Transform_Luminal_Space,Max_Distance_Transform_Luminal_Space,,1.987866242267005,0.010283329641501682,-1.2731107279859826,"[-2.24548090449427, -0.3007405514776954]",0.49611634916672914,,,,0.12339995569802019,False,False
Correlation_Luminal_Space,Correlation_Luminal_Space,,1.8920913741417829,0.012820608128663273,-191.6233919556074,"[-342.53464911072234, -40.712134800492436]",76.99695420195663,,,,0.1318691121805365,False,False
Minor_Axis_Length,Minor_Axis_Length,,1.5244814825166577,0.029889490872960486,-0.20374423278249837,"[-0.38763640161069457, -0.01985206395430214]",0.09382425915920609,,,,0.24717990743490925,False,False
Sum_Distance_Transform_By_Luminal_Space_Area,Sum_Distance_Transform_By_Luminal_Space_Area,,1.4526751007928427,0.035263458116468006,-3.9862522662220687,"[-7.697284648990245, -0.27521988345389214]",1.893418660771487,,,,0.24717990743490925,False,False
Mean_Distance_Transform_Luminal_Space,Mean_Distance_Transform_Luminal_Space,,1.4526750967298327,0.03526345844637268,-3.986252261876601,"[-7.697284647284347, -0.27521987646885604]",1.8934186621182305,,,,0.24717990743490925,False,False
Sum_Distance_Transform_By_Nuclei_Area,Sum_Distance_Transform_By_Nuclei_Area,,1.3851381010878787,0.04119664972435864,-20.663397991844008,"[-40.501074193011334, -0.8257217906766847]",10.121449351949517,,,,0.24717990743490925,False,False
Mean_Distance_Transform_Nuclei,Mean_Distance_Transform_Nuclei,,1.385138085118954,0.04119665123915154,-20.663397838088056,"[-40.50107403989357, -0.8257216362825481]",10.121449352275127,,,,0.24717990743490925,False,False
Max_Distance_Transform_By_Luminal_Space_Area,Max_Distance_Transform_By_Luminal_Space_Area,,1.2071854222565641,0.062060401045068846,566.8639367897565,"[-28.588317071785127, 1162.3161906512983]",303.8077528762738,,,,0.270919556731742,False,False
Sum_Distance_Transform_By_Object_Area_Eosinophilic,Sum_Distance_Transform_By_Object_Area_Eosinophilic,,1.203711559322,0.06255880448892395,3.182406222619398,"[-0.16686820644555178, 6.531680651684347]",1.7088448846425746,,,,0.270919556731742,False,False
